The following GPUs could not be reset:
  GPU 00000000:18:00.0: Not Supported
  GPU 00000000:29:00.0: Not Supported
  GPU 00000000:3A:00.0: Not Supported
  GPU 00000000:4B:00.0: Not Supported
  GPU 00000000:9A:00.0: Not Supported
  GPU 00000000:AA:00.0: Not Supported
  GPU 00000000:BA:00.0: Not Supported
  GPU 00000000:CA:00.0: Not Supported
{'loss': 0.3913, 'grad_norm': 0.34861239790916443, 'learning_rate': 9.974691241195401e-06, 'epoch': 0.41}
{'loss': 0.3762, 'grad_norm': 0.3930537700653076, 'learning_rate': 9.971959612276077e-06, 'epoch': 0.42}
{'loss': 0.3656, 'grad_norm': 0.39361849427223206, 'learning_rate': 9.969088437503642e-06, 'epoch': 0.42}
{'loss': 0.3454, 'grad_norm': 0.35040202736854553, 'learning_rate': 9.96607779746213e-06, 'epoch': 0.43}
{'loss': 0.3994, 'grad_norm': 0.46272051334381104, 'learning_rate': 9.962927776649877e-06, 'epoch': 0.44}
{'loss': 0.3682, 'grad_norm': 0.3626442551612854, 'learning_rate': 9.959638463477165e-06, 'epoch': 0.45}
{'loss': 0.3725, 'grad_norm': 0.41192346811294556, 'learning_rate': 9.956209950263733e-06, 'epoch': 0.46}
{'loss': 0.3806, 'grad_norm': 0.4344325065612793, 'learning_rate': 9.952642333236187e-06, 'epoch': 0.46}
{'loss': 0.3746, 'grad_norm': 0.37376338243484497, 'learning_rate': 9.948935712525299e-06, 'epoch': 0.47}
{'loss': 0.407, 'grad_norm': 3.10695481300354, 'learning_rate': 9.945090192163202e-06, 'epoch': 0.48}
{'loss': 0.3985, 'grad_norm': 0.4449455440044403, 'learning_rate': 9.941105880080462e-06, 'epoch': 0.49}
{'loss': 0.3965, 'grad_norm': 0.4230363368988037, 'learning_rate': 9.936982888103051e-06, 'epoch': 0.5}
{'loss': 0.3849, 'grad_norm': 0.3328658640384674, 'learning_rate': 9.932721331949215e-06, 'epoch': 0.5}
{'loss': 0.3805, 'grad_norm': 0.381133496761322, 'learning_rate': 9.928321331226219e-06, 'epoch': 0.51}
{'loss': 0.408, 'grad_norm': 0.4400014579296112, 'learning_rate': 9.92378300942699e-06, 'epoch': 0.52}
{'loss': 0.3951, 'grad_norm': 0.3931950628757477, 'learning_rate': 9.919106493926656e-06, 'epoch': 0.53}
{'loss': 0.3827, 'grad_norm': 0.37712809443473816, 'learning_rate': 9.914291915978967e-06, 'epoch': 0.54}
{'loss': 0.3731, 'grad_norm': 0.34789371490478516, 'learning_rate': 9.909339410712614e-06, 'epoch': 0.54}
{'loss': 0.3607, 'grad_norm': 0.4000053405761719, 'learning_rate': 9.90424911712743e-06, 'epoch': 0.55}
{'loss': 0.3677, 'grad_norm': 0.36013519763946533, 'learning_rate': 9.8990211780905e-06, 'epoch': 0.56}
{'loss': 0.4155, 'grad_norm': 0.4718163311481476, 'learning_rate': 9.89365574033214e-06, 'epoch': 0.57}
